date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:20:05	4448/4448	---M--	200	added ('OK')	image/png	date:Thu,%2018%20Jun%202020%2021:39:08%20GMT	https://ibnsino.getmytemplate.com/images/footer-logo.png	H:/Web%20Dev/projects/ShifaKhana/ibn%20sino/ibnsino.getmytemplate.com/images/footer-logo.png	(from https://ibnsino.getmytemplate.com/?storefront=envato-elements)
10:20:05	114472/114472	---M--	200	added ('OK')	image/jpeg	date:Mon,%2022%20Jun%202020%2019:14:26%20GMT	https://ibnsino.getmytemplate.com/images/jpg/popup-form.jpg	H:/Web%20Dev/projects/ShifaKhana/ibn%20sino/ibnsino.getmytemplate.com/images/jpg/popup-form.jpg	(from https://ibnsino.getmytemplate.com/?storefront=envato-elements)
10:20:06	159/159	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2024%20Jun%202020%2022:04:00%20GMT	https://ibnsino.getmytemplate.com/js/my-preloader.js	H:/Web%20Dev/projects/ShifaKhana/ibn%20sino/ibnsino.getmytemplate.com/js/my-preloader.js	(from https://ibnsino.getmytemplate.com/?storefront=envato-elements)
10:20:07	88144/88144	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2018%20Jun%202020%2021:39:08%20GMT	https://ibnsino.getmytemplate.com/js/jQuery-3.4.1.js	H:/Web%20Dev/projects/ShifaKhana/ibn%20sino/ibnsino.getmytemplate.com/js/jQuery-3.4.1.js	(from https://ibnsino.getmytemplate.com/?storefront=envato-elements)
10:20:07	44342/44342	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2018%20Jun%202020%2021:39:08%20GMT	https://ibnsino.getmytemplate.com/js/owl.carousel.min.js	H:/Web%20Dev/projects/ShifaKhana/ibn%20sino/ibnsino.getmytemplate.com/js/owl.carousel.min.js	(from https://ibnsino.getmytemplate.com/?storefront=envato-elements)
10:20:07	18081/18081	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2024%20Jul%202020%2014:59:52%20GMT	https://ibnsino.getmytemplate.com/js/carousel.js	H:/Web%20Dev/projects/ShifaKhana/ibn%20sino/ibnsino.getmytemplate.com/js/carousel.js	(from https://ibnsino.getmytemplate.com/?storefront=envato-elements)
10:20:08	160667/160667	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2018%20Jun%202020%2021:39:08%20GMT	https://ibnsino.getmytemplate.com/js/jquery.fancybox.js	H:/Web%20Dev/projects/ShifaKhana/ibn%20sino/ibnsino.getmytemplate.com/js/jquery.fancybox.js	(from https://ibnsino.getmytemplate.com/?storefront=envato-elements)
10:20:09	8833/8833	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2018%20Jun%202020%2021:39:08%20GMT	https://ibnsino.getmytemplate.com/js/jquery.waypoints.min.js	H:/Web%20Dev/projects/ShifaKhana/ibn%20sino/ibnsino.getmytemplate.com/js/jquery.waypoints.min.js	(from https://ibnsino.getmytemplate.com/?storefront=envato-elements)
10:20:09	1115/1115	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2018%20Jun%202020%2021:39:08%20GMT	https://ibnsino.getmytemplate.com/js/jquery.countup.min.js	H:/Web%20Dev/projects/ShifaKhana/ibn%20sino/ibnsino.getmytemplate.com/js/jquery.countup.min.js	(from https://ibnsino.getmytemplate.com/?storefront=envato-elements)
10:20:09	48944/48944	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2012%20May%202020%2006:51:52%20GMT	https://ibnsino.getmytemplate.com/js/bootstrap.min.js	H:/Web%20Dev/projects/ShifaKhana/ibn%20sino/ibnsino.getmytemplate.com/js/bootstrap.min.js	(from https://ibnsino.getmytemplate.com/?storefront=envato-elements)
